valid_per_image_iou,valid_dataset_iou,valid_dataset_loss,epoch,step,train_per_image_iou,train_dataset_iou,train_dataset_loss
0.9368670582771301,0.9397900104522705,0.2861810326576233,0,183,,,
,,,0,183,0.8427826166152954,0.7894612550735474,0.37108156085014343
0.9433022737503052,0.9488685727119446,0.18386071920394897,1,367,,,
,,,1,367,0.9478644728660583,0.9486836791038513,0.20379091799259186
0.943187952041626,0.9446218609809875,0.1180613562464714,2,551,,,
,,,2,551,0.9557813405990601,0.9561321139335632,0.12142480909824371
0.9364288449287415,0.9375928044319153,0.08902045339345932,3,735,,,
,,,3,735,0.9604142308235168,0.9603807926177979,0.07697024941444397
0.9507538080215454,0.9500511884689331,0.060589749366045,4,919,,,
,,,4,919,0.9638809561729431,0.9638140797615051,0.05347365140914917
0.9505555629730225,0.953956127166748,0.0512421652674675,5,1103,,,
,,,5,1103,0.9671698808670044,0.9673796892166138,0.039630454033613205
0.9475815892219543,0.9505425691604614,0.04629642516374588,6,1287,,,
,,,6,1287,0.9684829711914062,0.9686854481697083,0.03262503817677498
0.9157416224479675,0.925067126750946,0.06291959434747696,7,1471,,,
,,,7,1471,0.9679999351501465,0.9681515693664551,0.028765235096216202
0.9441146850585938,0.9418435096740723,0.040727850049734116,8,1655,,,
,,,8,1655,0.9683040976524353,0.9684040546417236,0.02582513727247715
0.9536478519439697,0.9537826776504517,0.034100521355867386,9,1839,,,
,,,9,1839,0.9702512621879578,0.9701262712478638,0.022874003276228905
